"id","title","release_year","country","duration","language","certification","gross","budget"
57,"The Beast from 20,000 Fathoms",1953,"USA",80,"English","Approved",5000000,210000
58,"The Robe",1953,"USA",135,"English","Unrated",36000000,5000000
59,"20,000 Leagues Under the Sea",1954,"USA",127,"English","Approved",,5000000
60,"20,000 Leagues Under the Sea",1954,"USA",127,"English","Approved",,5000000
61,"On the Waterfront",1954,"USA",108,"English","Not Rated",9600000,910000
62,"Seven Samurai",1954,"Japan",202,"Japanese","Unrated",269061,2000000
63,"The Egyptian",1954,"USA",139,"English","Approved",,5000000
64,"Ordet",1955,"Denmark",126,"Danish","Not Rated",,
65,"The Trouble with Harry",1955,"USA",99,"English","Approved",,1200000
66,"Love Me Tender",1956,"USA",89,"English",,,1000000
67,"Moby Dick",1956,"USA",115,"English","Unrated",,4500000
68,"Trapeze",1956,"USA",105,"English","Approved",,4000000
69,"12 Angry Men",1957,"USA",96,"English","Not Rated",,350000
70,"The Bridge on the River Kwai",1957,"UK",161,"English","PG",27200000,3000000
71,"Cat on a Hot Tin Roof",1958,"USA",108,"English","Approved",,3000000
72,"Solomon and Sheba",1959,"USA",141,"English",,,5000000
73,"Some Like It Hot",1959,"USA",120,"English","Not Rated",25000000,2883848
74,"The Nun's Story",1959,"USA",149,"English","Not Rated",,3500000
75,"Elmer Gantry",1960,"USA",146,"English","Approved",,3000000
76,"Psycho",1960,"USA",108,"English","R",32000000,806947
77,"The Apartment",1960,"USA",125,"English","Approved",,3000000
78,"Judgment at Nuremberg",1961,"USA",186,"English","Not Rated",,3000000
79,"Pocketful of Miracles",1961,"USA",136,"English","Approved",,2900000
80,"The Hustler",1961,"USA",134,"English","Unrated",,2000000
81,"The Misfits",1961,"USA",120,"English","Approved",,4000000
82,"West Side Story",1961,"USA",152,"English","Unrated",43650000,6000000
83,"Dr. No",1962,"UK",110,"English","Approved",16067035,1100000
84,"Lawrence of Arabia",1962,"UK",227,"English","PG",6000000,15000000
85,"Lolita",1962,"UK",152,"English","Not Rated",,2000000
86,"Lolita",1962,"UK",152,"English","Not Rated",,2000000
87,"The Brain That Wouldn't Die",1962,"USA",70,"English","Approved",,62000
88,"The Longest Day",1962,"USA",178,"English","G",,10000000
89,"The Man Who Shot Liberty Valance",1962,"USA",113,"English","Approved",,3200000
90,"To Kill a Mockingbird",1962,"USA",129,"English","Not Rated",,2000000
91,"55 Days at Peking",1963,"USA",154,"English","Unrated",,9000000
92,"Cleopatra",1963,"UK",251,"English","Approved",57750000,31115000
93,"Donovan's Reef",1963,"USA",109,"English","Not Rated",,2686585
94,"From Russia with Love",1963,"UK",115,"English","Approved",24800000,2000000
95,"Hud",1963,"USA",112,"English","Approved",,2500000
96,"It's a Mad, Mad, Mad, Mad World",1963,"USA",197,"English","Approved",46300000,9400000
97,"The Great Escape",1963,"USA",172,"English","Approved",,4000000
98,"Tom Jones",1963,"UK",121,"English","Unrated",,1000000
99,"A Fistful of Dollars",1964,"Italy",99,"Italian","R",3500000,200000
100,"A Hard Day's Night",1964,"UK",87,"English","Approved",515005,560000
101,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,"USA",95,"English","PG",,1800000
102,"Goldfinger",1964,"UK",110,"English","Approved",51100000,3000000
103,"Mary Poppins",1964,"USA",139,"English","Approved",102300000,6000000
104,"My Fair Lady",1964,"USA",170,"English","Approved",72000000,17000000
105,"Nothing But a Man",1964,"USA",95,"English","Not Rated",12438,160000
106,"The Fall of the Roman Empire",1964,"USA",172,"English","Approved",,19000000
107,"The Train",1964,"France",133,"English","Unrated",,6700000
108,"Une Femme Mariée",1964,"France",94,"French",,,120000
109,"Doctor Zhivago",1965,"USA",200,"English","PG-13",111722000,11000000
110,"Major Dundee",1965,"USA",152,"English","Approved",14873,3800000
111,"Pierrot le Fou",1965,"France",110,"French","Not Rated",,300000
112,"The Greatest Story Ever Told",1965,"USA",225,"English","G",8000000,20000000
113,"The Party's Over",1965,"UK",94,"English",,,
114,"The Sound of Music",1965,"USA",174,"English","G",163214286,8200000
115,"Thunderball",1965,"UK",130,"English","Approved",63600000,9000000
116,"A Funny Thing Happened on the Way to the Forum",1966,"USA",99,"English","Approved",,2000000
117,"A Man for All Seasons",1966,"UK",120,"English","Approved",,2000000
118,"Batman: The Movie",1966,"USA",105,"English","Approved",,1377800
119,"Harper",1966,"USA",121,"English","Not Rated",,3500000
120,"The Good, the Bad and the Ugly",1966,"Italy",142,"Italian","Approved",6100000,1200000
121,"Torn Curtain",1966,"USA",128,"English","Approved",,6000000
122,"In Cold Blood",1967,"USA",134,"English","Approved",,3500000
123,"Point Blank",1967,"USA",92,"English","Approved",,3000000
124,"The Torture Chamber of Dr. Sadism",1967,"West Germany",80,"German","M",,
125,"You Only Live Twice",1967,"UK",117,"English","Approved",43100000,9500000
126,"2001: A Space Odyssey",1968,"UK",161,"English","G",56715371,12000000
127,"Barbarella",1968,"France",98,"English","PG",,9000000
128,"Charly",1968,"USA",103,"English","PG",,
129,"Hang 'Em High",1968,"USA",114,"English","M",,1800000
130,"Night of the Living Dead",1968,"USA",96,"English","Unrated",,114000
131,"Night of the Living Dead",1968,"USA",96,"English","Unrated",,114000
132,"Oliver!",1968,"UK",153,"English","G",16800000,10000000
133,"Once Upon a Time in the West",1968,"Italy",145,"English","PG-13",,5000000
134,"Rosemary's Baby",1968,"USA",136,"English","R",,2300000
135,"Shalako",1968,"UK",113,"English","PG",,1455000
136,"Yours, Mine and Ours",1968,"USA",111,"English","Unrated",,2500000
137,"Butch Cassidy and the Sundance Kid",1969,"USA",110,"English","M",102308900,6000000
138,"Machine Gun McCain",1969,"Italy",96,"English","GP",,
139,"Midnight Cowboy",1969,"USA",113,"English","X",,3600000
140,"Mississippi Mermaid",1969,"France",123,"French","R",26893,1600000
141,"On Her Majesty's Secret Service",1969,"UK",142,"English","M",22800000,7000000
142,"Paint Your Wagon",1969,"USA",158,"English","PG-13",,20000000
143,"Sweet Charity",1969,"USA",154,"English","G",,20000000
144,"The Stewardesses",1969,"USA",93,"English","X",,100000
145,"The Wild Bunch",1969,"USA",144,"English","R",,6244087
146,"Topaz",1969,"USA",127,"English","M",,4000000
147,"Beneath the Planet of the Apes",1970,"USA",95,"English","G",,3000000
148,"Beyond the Valley of the Dolls",1970,"USA",109,"English","X",9000000,900000
149,"Catch-22",1970,"USA",122,"English","R",,18000000
150,"Cotton Comes to Harlem",1970,"USA",97,"English","R",,1200000
151,"Darling Lili",1970,"USA",143,"English","G",5000000,25000000
152,"Patton",1970,"USA",172,"English","GP",,12000000
153,"The Ballad of Cable Hogue",1970,"USA",121,"English","R",,3716946
154,"The Conformist",1970,"Italy",106,"Italian","R",,750000
155,"The Molly Maguires",1970,"USA",124,"English","PG",,11000000
156,"Tora! Tora! Tora!",1970,"Japan",160,"English","G",14500000,25000000
157,"Waterloo",1970,"Italy",134,"English","G",,25000000
158,"Woodstock",1970,"USA",215,"English","R",13300000,600000
159,"Bananas",1971,"USA",82,"English","GP",,2000000
160,"Diamonds Are Forever",1971,"UK",120,"English","GP",43800000,7200000
161,"Escape from the Planet of the Apes",1971,"USA",98,"English","G",,2500000
162,"Fiddler on the Roof",1971,"USA",181,"English","G",50000000,9000000
163,"Pink Narcissus",1971,"USA",65,"English","Not Rated",8231,27000
164,"Sweet Sweetback's Baadasssss Song",1971,"USA",97,"English","R",15180000,500000
165,"The Andromeda Strain",1971,"USA",115,"English","G",,6500000
166,"The French Connection",1971,"USA",104,"English","R",,1800000
167,"The French Connection",1971,"USA",104,"English","R",,1800000
168,"The Night Visitor",1971,"USA",106,"English","GP",,
169,"Willy Wonka & the Chocolate Factory",1971,"USA",89,"English","G",,3000000
170,"1776",1972,"USA",168,"English","PG",,4000000
171,"Conquest of the Planet of the Apes",1972,"USA",88,"English","PG",,1700000
172,"Cries & Whispers",1972,"Sweden",91,"Swedish","R",,400000
173,"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",1972,"USA",88,"English","R",,2000000
174,"Frenzy",1972,"UK",116,"English","R",,2000000
175,"Pink Flamingos",1972,"USA",108,"English","NC-17",180483,10000
176,"Silent Running",1972,"USA",89,"English","GP",,1000000
177,"Solaris",1972,"Soviet Union",115,"Russian","PG",,1000000
178,"The Godfather",1972,"USA",175,"English","R",134821952,6000000
179,"American Graffiti",1973,"USA",112,"English","PG",115000000,777000
180,"Battle for the Planet of the Apes",1973,"USA",96,"English","G",,1800000
181,"High Plains Drifter",1973,"USA",105,"English","R",,5500000
182,"Live and Let Die",1973,"UK",121,"English","PG",35400000,7000000
183,"Mean Streets",1973,"USA",112,"English","R",32645,500000
184,"Pat Garrett & Billy the Kid",1973,"USA",106,"English","R",,4638783
185,"Sleeper",1973,"USA",89,"English","PG",,2000000
186,"The Exorcist",1973,"USA",132,"English","R",204565000,8000000
187,"The Sting",1973,"USA",129,"English","PG",159600000,5500000
188,"Benji",1974,"USA",86,"English","G",39552600,500000
189,"Blazing Saddles",1974,"USA",93,"English","R",119500000,2600000
190,"The Conversation",1974,"USA",113,"English","PG",,1600000
191,"The Front Page",1974,"USA",105,"English","PG",,4000000
192,"The Godfather: Part II",1974,"USA",220,"English","R",57300000,13000000
193,"The Man with the Golden Gun",1974,"UK",125,"English","PG",21000000,13000000
194,"The Texas Chain Saw Massacre",1974,"USA",88,"English","R",30859000,83532
195,"The Texas Chain Saw Massacre",1974,"USA",88,"English","R",30859000,83532
196,"Young Frankenstein",1974,"USA",106,"English","PG",86300000,2800000
197,"Barry Lyndon",1975,"UK",184,"English","PG",,11000000
198,"Death Race 2000",1975,"USA",80,"English","R",,300000
199,"Jaws",1975,"USA",130,"English","PG",260000000,8000000
200,"Monty Python and the Holy Grail",1975,"UK",91,"English","PG",1229197,229575
201,"One Flew Over the Cuckoo's Nest",1975,"USA",133,"English","R",112000000,4400000
202,"The Return of the Pink Panther",1975,"UK",113,"English","G",,5000000
203,"Family Plot",1976,"USA",120,"English","PG",,4490375
204,"Logan's Run",1976,"USA",119,"English","PG",25000000,9000000
205,"Network",1976,"USA",121,"English","R",,3800000
206,"Robin and Marian",1976,"USA",106,"English","PG",,5000000
207,"Rocky",1976,"USA",145,"English","PG",117235247,960000
208,"Silent Movie",1976,"USA",87,,"PG",,4400000
209,"Taxi Driver",1976,"USA",110,"English","R",,1300000
210,"The Bad News Bears",1976,"USA",102,"English","PG",,
211,"The Omen",1976,"UK",107,"English","R",,2800000
212,"The Omen",1976,"UK",107,"English","R",,2800000
213,"A Bridge Too Far",1977,"USA",175,"English","PG",50800000,26000000
214,"Annie Hall",1977,"USA",93,"English","PG",39200000,4000000
215,"Capricorn One",1977,"USA",130,"English","PG",,5000000
216,"Close Encounters of the Third Kind",1977,"USA",135,"English","PG",128300000,19400870
217,"Damnation Alley",1977,"USA",91,"English","PG",,17000000
218,"Eraserhead",1977,"USA",89,"English","Unrated",,20000
219,"Exorcist II: The Heretic",1977,"USA",118,"English","R",,14000000
220,"High Anxiety",1977,"USA",94,"English","PG",,3400000
221,"Julia",1977,"USA",117,"English","PG",,7840000
222,"Kingdom of the Spiders",1977,"USA",97,"English","PG",17000000,500000
223,"March or Die",1977,"UK",107,"English","PG",1000000,9000000
224,"New York, New York",1977,"USA",136,"English","PG",,14000000
225,"Sorcerer",1977,"USA",92,"English","PG",,12000000
226,"Star Wars: Episode IV - A New Hope",1977,"USA",125,"English","PG",460935665,11000000
227,"The Kentucky Fried Movie",1977,"USA",83,"English","R",,650000
228,"The Spy Who Loved Me",1977,"UK",123,"English","PG",46800000,14000000
229,"Alien Zone",1978,"USA",79,"English","PG",,350000
230,"Animal House",1978,"USA",109,"English","R",141600000,3000000
231,"Caravans",1978,"Iran",127,"English","PG",1000000,14000000
232,"Days of Heaven",1978,"USA",94,"English","PG",,3000000
233,"F.I.S.T.",1978,"USA",145,"English","PG",,11000000
234,"Force 10 from Navarone",1978,"UK",126,"English","PG",,5000000
235,"Grease",1978,"USA",110,"English","PG-13",181360000,6000000
236,"Halloween",1978,"USA",101,"English","R",47000000,300000
237,"Halloween",1978,"USA",101,"English","R",47000000,300000
238,"Halloween",1978,"USA",101,"English","R",47000000,300000
239,"Jaws 2",1978,"USA",131,"English","PG",102922376,20000000
240,"Superman",1978,"USA",188,"English","PG",134218018,55000000
241,"The Boys from Brazil",1978,"UK",125,"English","R",,12000000
242,"The Deer Hunter",1978,"UK",183,"English","R",,15000000
243,"The Last Waltz",1978,"USA",117,"English","PG",321952,
244,"The Wiz",1978,"USA",118,"English","G",13000000,24000000
245,"1941",1979,"USA",142,"English","PG",,35000000
246,"Alien",1979,"UK",116,"English","R",78900000,11000000
247,"All That Jazz",1979,"USA",123,"English","R",,
248,"Apocalypse Now",1979,"USA",289,"English","R",78800000,31500000
249,"Escape from Alcatraz",1979,"USA",112,"English","PG",36500000,8000000
250,"Mad Max",1979,"Australia",93,"English","R",,200000
251,"Meteor",1979,"USA",108,"English","PG",,16000000
252,"Moonraker",1979,"UK",126,"English","PG",62700000,34000000
253,"Penitentiary",1979,"USA",99,"English","R",,100000
254,"Prophecy",1979,"USA",102,"English","PG",,12000000
255,"Star Trek: The Motion Picture",1979,"USA",143,"English","PG",82300000,35000000
256,"The Black Hole",1979,"USA",98,"English","PG",,20000000
257,"The Black Stallion",1979,"USA",118,"English","G",,2700000
258,"The Great Train Robbery",1979,"UK",110,"English","PG",,6000000
259,"The Muppet Movie",1979,"UK",95,"English","G",76657000,
260,"The Rose",1979,"USA",125,"English","R",29200000,8500000
261,"Airplane!",1980,"USA",88,"English","PG",83400000,3500000
262,"Caddyshack",1980,"USA",98,"English","R",39800000,6000000
263,"Can't Stop the Music",1980,"USA",124,"English","PG",2000000,20000000
264,"Coal Miner's Daughter",1980,"USA",124,"English","PG",79900000,
265,"Dressed to Kill",1980,"USA",104,"English","X",31899000,6500000
266,"Flash Gordon",1980,"UK",111,"English","PG",,20000000
267,"Galaxina",1980,"USA",95,"English","R",,
268,"Heaven's Gate",1980,"USA",325,"English","R",1500000,44000000
269,"Lion of the Desert",1980,"Libya",156,"English","PG",,35000000
270,"Ordinary People",1980,"USA",124,"English","R",54800000,6000000
271,"Out of the Blue",1980,"Canada",94,"English","R",,2200000
272,"Private Benjamin",1980,"USA",109,"English","R",69800000,10000000
273,"Raging Bull",1980,"USA",121,"English","R",45250,18000000
274,"Raise the Titanic",1980,"UK",119,"English","PG",7000000,36000000
275,"Somewhere in Time",1980,"USA",103,"English","PG",,5100000
276,"Star Wars: Episode V - The Empire Strikes Back",1980,"USA",127,"English","PG",290158751,18000000
277,"Superman II",1980,"USA",116,"English","PG",108200000,54000000
278,"The Blue Lagoon",1980,"USA",104,"English","R",,4500000
279,"The Blues Brothers",1980,"USA",148,"English","R",54200000,27000000
280,"The Elephant Man",1980,"USA",124,"English","PG",,5000000
281,"The Fog",1980,"USA",89,"English","R",21378000,1000000
282,"The Fog",1980,"USA",89,"English","R",21378000,1000000
283,"The Long Riders",1980,"USA",100,"English","R",,10000000
284,"The Shining",1980,"USA",146,"English","R",,19000000
285,"Blow Out",1981,"USA",107,"English","R",,18000000
286,"Chariots of Fire",1981,"UK",125,"English","PG",58800000,5500000
287,"Das Boot",1981,"West Germany",293,"German","R",11433134,14000000
288,"Dragonslayer",1981,"USA",108,"English","PG",6000000,18000000
289,"Escape from New York",1981,"UK",106,"English","R",25244700,6000000
290,"For Your Eyes Only",1981,"UK",127,"English","PG",62300000,28000000
291,"Friday the 13th Part 2",1981,"USA",87,"English","R",19100000,1250000
292,"Graduation Day",1981,"USA",96,"English","R",,250000
293,"Heartbeeps",1981,"USA",78,"English","PG",,10000000
294,"Heavy Metal",1981,"Canada",90,"English","R",,9300000
295,"History of the World: Part I",1981,"USA",92,"English","R",,11000000
296,"History of the World: Part I",1981,"USA",92,"English","R",,11000000
297,"Inchon",1981,"South Korea",140,"English","PG",,48000000
298,"Mad Max 2: The Road Warrior",1981,"Australia",87,"English","R",9003011,2000000
299,"Modern Problems",1981,"USA",93,"English","PG",,8000000
300,"Mommie Dearest",1981,"USA",129,"English","R",,5000000
301,"Nighthawks",1981,"USA",99,"English","R",,5000000
302,"Porky's",1981,"Canada",94,"English","R",105500000,4000000
303,"Quest for Fire",1981,"Canada",100,"None","R",,12500000
304,"Raiders of the Lost Ark",1981,"USA",115,"English","PG",242374454,18000000
305,"Reds",1981,"USA",195,"English","PG",,35000000
306,"Roar",1981,"USA",102,"English","PG",2000000,17000000
307,"Sphinx",1981,"USA",118,"English","PG",800000,14000000
308,"Stripes",1981,"USA",117,"English","R",85300000,10000000
309,"The Beyond",1981,"Italy",82,"Italian","X",126387,400000
310,"The Evil Dead",1981,"USA",96,"English","NC-17",,375000
311,"The Four Seasons",1981,"USA",107,"English","PG",,
312,"The Howling",1981,"USA",91,"English","R",17986000,1000000
313,"The Legend of the Lone Ranger",1981,"USA",98,"English","PG",8000000,18000000
314,"The Postman Always Rings Twice",1981,"USA",122,"English","R",,12000000
315,"The Pursuit of D.B. Cooper",1981,"USA",100,"English","PG",,12000000
316,"Time Bandits",1981,"UK",103,"English","PG",42365600,5000000
317,"Under the Rainbow",1981,"USA",98,"English","PG",8500000,20000000
318,"Blade Runner",1982,"USA",117,"English","R",27000000,28000000
319,"Butterfly",1982,"USA",108,"English","R",,
320,"Cat People",1982,"USA",93,"English","R",,18000000
321,"Cat People",1982,"USA",93,"English","R",,18000000
322,"Class of 1984",1982,"Canada",98,"English","R",,4300000
323,"Conan the Barbarian",1982,"USA",129,"English","R",37567440,20000000
324,"Conan the Barbarian",1982,"USA",129,"English","R",37567440,20000000
325,"Creepshow",1982,"USA",130,"English","R",,8000000
326,"Creepshow",1982,"USA",130,"English","R",,8000000
327,"Diner",1982,"USA",110,"English","R",14100000,5000000
328,"E.T. the Extra-Terrestrial",1982,"USA",120,"English","PG",434949459,10500000
329,"Fast Times at Ridgemont High",1982,"USA",90,"English","X",,4500000
330,"Firefox",1982,"USA",136,"English","PG",46700000,21000000
331,"First Blood",1982,"USA",93,"English","R",,14000000
332,"First Blood",1982,"USA",93,"English","R",,14000000
333,"Friday the 13th Part III",1982,"USA",91,"English","R",36200000,4000000
334,"Gandhi",1982,"UK",240,"English","PG",,22000000
335,"Halloween III: Season of the Witch",1982,"USA",98,"English","R",14400000,2500000
336,"Jekyll and Hyde... Together Again",1982,"USA",87,"English","R",,5000000
337,"Megaforce",1982,"USA",99,"English","PG",5333658,20000000
338,"Poltergeist",1982,"USA",120,"English","PG",76600000,10700000
339,"Poltergeist",1982,"USA",120,"English","PG",76600000,10700000
340,"Star Trek II: The Wrath of Khan",1982,"USA",116,"English","PG",78900000,11000000
341,"The Ballad of Gregorio Cortez",1982,"USA",105,"English",,,1250000
342,"The Beastmaster",1982,"USA",90,"English","PG",,8000000
343,"The Best Little Whorehouse in Texas",1982,"USA",114,"English","R",69700000,35000000
344,"The Man from Snowy River",1982,"Australia",102,"English","PG",,3500000
345,"The Thing",1982,"USA",109,"English","R",13782838,15000000
346,"The Verdict",1982,"USA",129,"English","R",54000000,16000000
347,"Tootsie",1982,"USA",116,"English","PG",177200000,22000000
348,"A Christmas Story",1983,"USA",94,"English","PG",,4000000
349,"Flashdance",1983,"USA",95,"English","R",94900000,4000000
350,"Gabriela",1983,"Brazil",99,"Portuguese","R",,
351,"Krull",1983,"UK",116,"English","PG",,27000000
352,"Lone Wolf McQuade",1983,"USA",107,"English","PG",12200000,5000000
353,"Losin' It",1983,"Canada",100,"English","R",,7000000
354,"Love Letters",1983,"USA",88,"English","R",,550000
355,"National Lampoon's Vacation",1983,"USA",98,"English","R",61400000,15000000
356,"Never Say Never Again",1983,"UK",121,"English","PG",55500000,36000000
357,"Octopussy",1983,"UK",131,"English","PG",67900000,27500000
358,"Scarface",1983,"USA",142,"English","R",44700000,25000000
359,"Star Wars: Episode VI - Return of the Jedi",1983,"USA",134,"English","PG",309125409,32500000
360,"Superman III",1983,"UK",125,"English","PG",60000000,39000000
361,"The Dead Zone",1983,"USA",103,"English","R",,10000000
362,"The Outsiders",1983,"USA",114,"English","PG-13",25600000,10000000
363,"The Right Stuff",1983,"USA",193,"English","PG",21500000,27000000
364,"The Wicked Lady",1983,"UK",98,"English","R",,8000000
365,"Trading Places",1983,"USA",116,"English","R",90400000,
366,"Twilight Zone: The Movie",1983,"USA",101,"English","PG",29500000,10000000
367,"Videodrome",1983,"Canada",89,"English","R",,5952000
368,"WarGames",1983,"USA",114,"English","PG",79568000,12000000
369,"Yentl",1983,"UK",132,"English","PG",30400000,12000000
370,"A Nightmare on Elm Street",1984,"USA",101,"English","X",26505000,1800000
371,"A Nightmare on Elm Street",1984,"USA",101,"English","X",26505000,1800000
372,"A Passage to India",1984,"UK",164,"English","PG",26400000,16000000
373,"Amadeus",1984,"USA",180,"English","R",51600000,18000000
374,"Beverly Hills Cop",1984,"USA",105,"English","R",234760500,14000000
375,"Body Double",1984,"USA",114,"English","R",,10000000
376,"C.H.U.D.",1984,"USA",96,"English","R",,1250000
377,"Conan the Destroyer",1984,"USA",103,"English","PG",26400000,18000000
378,"Dune",1984,"USA",177,"English","PG-13",27400000,40000000
379,"Firestarter",1984,"USA",114,"English","R",15100000,15000000
380,"Footloose",1984,"USA",107,"English","PG",80000000,8200000
381,"Footloose",1984,"USA",107,"English","PG",80000000,8200000
382,"Friday the 13th: The Final Chapter",1984,"USA",97,"English","R",32600000,1800000
383,"Gremlins",1984,"USA",106,"English","PG",148170000,11000000
384,"Indiana Jones and the Temple of Doom",1984,"USA",118,"English","PG",179870271,28000000
385,"Once Upon a Time in America",1984,"Italy",251,"English","R",5300000,30000000
386,"Police Academy",1984,"USA",96,"English","R",81200000,4500000
387,"Red Dawn",1984,"USA",114,"English","PG-13",,16900000
388,"Repo Man",1984,"USA",92,"English","R",,1500000
389,"Sheena",1984,"UK",117,"English","PG",,25000000
390,"Splash",1984,"USA",111,"English","PG",69800000,8000000
391,"Star Trek III: The Search for Spock",1984,"USA",105,"English","PG",76400000,17000000
392,"The Bounty",1984,"UK",132,"English","PG",8600000,25000000
393,"The Cotton Club",1984,"USA",123,"English","R",25900000,58000000
394,"The Hotel New Hampshire",1984,"UK",109,"English","R",5100000,7500000
395,"The Ice Pirates",1984,"USA",91,"English","PG",,9000000
396,"The Karate Kid",1984,"USA",126,"English","PG",90800000,8000000
397,"The Karate Kid",1984,"USA",126,"English","PG",90800000,8000000
398,"The NeverEnding Story",1984,"West Germany",94,"English","PG",,27000000
399,"The Terminator",1984,"UK",107,"English","R",38400000,6500000
400,"The Toxic Avenger",1984,"USA",91,"English","Unrated",,475000
401,"A Nightmare on Elm Street 2: Freddy's Revenge",1985,"USA",87,"English","R",30000000,2200000
402,"A Room with a View",1985,"UK",117,"English","Unrated",20966644,3000000
403,"A View to a Kill",1985,"UK",131,"English","PG",50300000,30000000
404,"Back to the Future",1985,"USA",116,"English","PG",210609762,19000000
405,"Brazil",1985,"UK",142,"English","R",9929000,15000000
406,"Commando",1985,"USA",75,"English","R",,10000000
407,"Day of the Dead",1985,"USA",87,"English","Unrated",,3500000
408,"Day of the Dead",1985,"USA",87,"English","Unrated",,3500000
409,"Def-Con 4",1985,"Canada",88,"English","R",,1750000
410,"Friday the 13th: A New Beginning",1985,"USA",92,"English","R",21300000,2200000
411,"Invasion U.S.A.",1985,"USA",107,"English","R",,10000000
412,"Krush Groove",1985,"USA",97,"English","R",,3000000
413,"Ladyhawke",1985,"USA",121,"English","PG-13",,20000000
414,"Lifeforce",1985,"UK",101,"English","R",,25000000
415,"Mad Max Beyond Thunderdome",1985,"Australia",107,"English","PG-13",36200000,12305523
416,"My Beautiful Laundrette",1985,"UK",97,"English","R",,650000
417,"Out of Africa",1985,"USA",161,"English","PG",87100000,31000000
418,"Pale Rider",1985,"USA",115,"English","R",41400000,6900000
419,"Rambo: First Blood Part II",1985,"USA",96,"English","R",150415432,44000000
420,"Red Sonja",1985,"Netherlands",89,"English","PG-13",,17900000
